,country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
35,China,0,0.0,0.00017,0.00117,0.00495,0.0131,0.0324,0.169,0.708,1.78,2.64,4.6,6.2,7.3,8.52,10.5,16.0,22.6,28.9,34.3,38.3,42.3,45.8,47.9,50.3,53.2,54.3,59.2,64.1,70.4
36,Cote d'Ivoire,0,0.0,0.0,0.0,0.0002,0.00841,0.0188,0.061,0.119,0.231,0.396,0.498,0.759,0.849,1.04,1.52,1.8,1.9,2.0,2.7,2.9,4.4,6.6,10.0,16.7,25.3,34.8,37.5,36.3,
37,Cameroon,0,0.0,0.0,0.0,0,,0.00677,0.0132,0.129,0.252,0.277,0.361,0.588,0.976,1.4,2.03,2.93,3.4,3.84,4.3,5.0,7.5,10.0,16.2,18.3,20.6,23.2,29.7,33.5,37.8
38,"Congo, Dem. Rep.",0,0.0,0.0,0.0,0,0.00011,0.00021,0.00041,0.00101,0.0059,0.0115,0.0928,0.135,0.196,0.238,0.296,0.37,0.44,0.56,0.72,1.2,1.68,2.2,3.0,3.8,6.21,8.62,11.7,12.5,13.6
39,"Congo, Rep.",0,0.0,0.0,0.0,0,0.00353,0.00347,0.00342,0.0168,0.0263,0.0322,0.157,0.46,1.08,1.46,2.01,2.76,4.29,4.5,5.0,5.6,6.11,6.6,7.11,7.62,8.12,8.65,,,
40,Colombia,0,0.0,0.0,0.107,0.188,0.33,0.551,1.13,1.7,2.21,2.85,4.6,7.39,9.12,11.0,15.3,21.8,25.6,30.0,36.5,40.4,49.0,51.7,52.6,55.9,58.1,62.3,64.1,65.0,69.8
41,Comoros,0,0.0,0.0,0.0,0,,0.0,0.0379,0.148,0.272,0.443,0.555,0.848,1.33,2.0,2.2,2.5,3.0,3.5,5.1,5.5,5.98,6.5,6.98,7.46,7.94,8.48,,,
42,Cape Verde,0,0.0,0.0,0.0,0,,0.241,0.473,1.16,1.82,2.69,3.52,4.32,5.32,6.07,6.81,8.28,14.0,21.0,30.0,32.0,34.7,37.5,40.3,42.7,50.3,57.2,59.5,61.9,64.5
43,Costa Rica,0,0.00111,0.0815,0.28,0.417,0.841,1.64,2.67,3.9,5.8,9.56,19.9,20.3,20.8,22.1,25.1,28.4,32.3,34.3,36.5,39.2,47.5,46.0,53.0,59.8,65.9,71.6,73.5,81.2,80.5
44,Cuba,0,0.0,0.0,0.0,90µ,0.0319,0.0682,0.227,0.315,0.541,1.08,3.77,5.24,8.41,9.74,11.2,11.7,12.9,14.3,15.9,16.0,21.2,27.9,29.1,37.3,43.0,57.1,62.7,68.0,74.0
45,Cayman Islands,0,0.0,0.0,0.0,3.95,,,,,,,,,,38.0,44.5,52.0,61.0,64.5,66.0,69.5,69.7,71.4,74.1,77.0,79.0,81.1,,,
46,Cyprus,0,0.0501,0.0564,0.111,0.41,0.673,4.38,8.89,11.3,15.3,18.8,28.3,30.1,33.8,32.8,35.8,40.8,42.3,49.8,53.0,56.9,60.7,65.5,69.3,71.7,75.9,80.7,84.4,86.1,90.8
47,Czech Republic,0,0.0,0.581,1.26,1.45,1.94,2.92,3.9,6.83,9.78,14.7,23.9,34.3,35.5,35.3,47.9,51.9,63.0,64.4,68.8,70.5,73.4,74.1,74.2,75.7,76.5,78.7,80.7,80.9,81.3
48,Germany,0.25,0.435,0.464,0.923,1.84,3.05,6.71,9.88,20.8,30.2,31.7,48.8,55.9,64.7,68.7,72.2,75.2,78.0,79.0,82.0,81.3,82.3,84.2,86.2,87.6,84.2,84.4,87.0,88.1,89.8
49,Djibouti,0,0.0,0.0,0.0,0.016,0.0312,0.0829,0.0947,0.106,0.195,0.344,0.487,0.626,0.781,0.954,1.27,1.62,2.26,4.0,6.5,7.0,9.4,12.7,17.0,22.9,30.8,55.7,58.0,59.0,59.0
50,Dominica,0,0.0,0.0,0.0,0.549,1.17,,2.93,2.93,8.81,13.2,18.4,23.6,30.3,38.5,39.4,40.3,41.2,42.0,47.5,48.6,49.8,51.0,57.5,65.0,67.0,69.6,,,
51,Denmark,0.194,0.387,0.578,1.34,3.83,5.71,11.4,22.7,30.6,39.2,43.0,64.3,76.3,80.9,82.7,86.7,85.0,85.0,86.8,88.7,89.8,92.3,94.6,96.0,96.3,97.0,97.1,97.3,98.0,96.5
52,Dominican Republic,0,0.0,0.0,0.0,0.0172,0.075,0.143,0.234,1.1,3.7,4.43,6.82,7.9,8.87,11.5,14.8,17.7,20.8,27.7,31.4,38.0,42.3,45.9,49.6,54.2,63.9,67.6,74.8,75.8,76.9
53,Algeria,0,0.0,0.0,0.00036,0.00177,0.00174,0.0103,0.0202,0.2,0.492,0.646,1.59,2.2,4.63,5.84,7.38,9.45,10.2,11.2,12.5,14.9,18.2,22.5,29.5,38.2,42.9,47.7,49.0,57.9,62.9
54,Ecuador,0,0.00512,0.0164,0.0348,0.0438,0.0862,0.11,0.125,0.823,1.46,2.67,4.26,4.46,4.83,5.99,7.2,10.8,18.8,24.6,29.0,31.4,35.1,40.3,45.6,48.9,54.1,55.8,57.5,61.6,64.6
55,Egypt,0,0.0,0.00098,0.00638,0.0313,0.0615,0.0905,0.148,0.29,0.641,0.839,2.72,4.04,11.9,12.8,13.7,16.0,18.0,20.0,21.6,25.6,26.4,29.4,33.9,37.8,41.2,45.0,46.9,57.3,71.9
56,Eritrea,0,0.0,0.0,0.0,0,0.0,0.00902,0.00877,0.0255,0.137,0.158,0.227,,,,,0.41,0.47,0.54,0.61,0.7,0.8,0.9,0.99,1.08,1.18,1.31,,,
57,Spain,0.0257,0.0769,0.128,0.28,0.381,1.33,2.8,4.36,7.09,13.6,18.1,20.4,39.9,44.0,47.9,50.4,55.1,59.6,62.4,65.8,67.1,69.8,71.6,76.2,78.7,80.6,84.6,86.1,90.7,93.2
58,Estonia,0,0.0655,0.301,1.16,2.78,3.53,5.71,10.8,14.5,28.6,31.5,41.5,45.3,53.2,61.5,63.5,66.2,70.6,72.5,74.1,76.5,78.4,80.0,84.2,88.4,87.2,88.1,89.4,90.2,89.1
59,Ethiopia,0,0.0,0.0,0.0,20µ,0.0017,0.00497,0.00966,0.0125,0.0153,0.0372,0.0724,0.106,0.155,0.22,0.311,0.37,0.45,0.54,0.75,1.1,2.9,4.6,7.7,13.9,15.4,18.6,20.0,22.0,24.0
60,Finland,1.4,1.89,2.57,4.92,13.9,16.8,19.5,25.5,32.3,37.2,43.1,62.4,69.2,72.4,74.5,79.7,80.8,83.7,82.5,86.9,88.7,89.9,91.5,86.5,86.4,87.7,87.5,88.9,89.6,92.2
61,Fiji,0,0.0,0.00668,0.00791,0.00912,0.0644,0.223,0.633,0.942,1.5,1.86,6.15,6.73,7.41,8.45,9.6,10.9,13.0,17.0,20.0,28.0,33.7,35.2,37.4,42.5,49.4,65.8,68.9,,
62,France,0.14,0.279,0.591,0.9,1.64,2.58,4.25,6.32,9.13,14.3,26.3,30.2,36.1,39.1,42.9,46.9,66.1,70.7,71.6,77.3,77.8,81.4,81.9,83.8,78.0,79.3,80.5,82.0,83.3,84.8
63,Faeroe Islands,0,0.0,0.0,0.0,0,2.32,4.6,11.3,22.3,32.9,43.2,53.3,58.9,66.5,67.9,69.4,76.0,75.6,75.2,75.2,80.7,85.3,90.0,93.3,94.2,95.1,97.6,,,
64,"Micronesia, Fed. Sts.",0,0.0,0.0,0.0,0,0.278,0.571,1.86,2.8,3.73,4.66,5.57,9.23,11.0,11.9,12.8,13.6,14.5,15.3,20.0,22.8,26.0,27.8,29.6,31.5,33.4,35.3,,,
65,Gabon,0,0.0,0.0,0.0,0,0.0,0.048,0.17,0.249,1.22,1.35,1.94,2.66,2.98,4.89,5.49,5.77,7.5,9.5,13.0,18.0,24.0,30.5,38.1,45.8,48.1,50.3,59.6,61.0,62.0
66,United Kingdom,0.174,0.261,0.52,1.04,1.9,4.12,7.39,13.7,21.3,26.8,33.5,56.5,64.8,65.6,70.0,68.8,75.1,78.4,83.6,85.0,85.4,87.5,89.8,91.6,92.0,94.8,90.4,90.7,92.5,94.8
67,Georgia,0,0.0,0.0,0.0,0.0118,0.0401,0.0609,0.103,0.416,0.485,0.992,1.59,2.56,3.89,6.08,7.53,8.26,10.0,20.1,26.9,31.5,36.9,43.3,44.0,47.6,58.5,59.7,62.7,68.8,72.5
68,Ghana,0,0.0,0.0,0.0,0.00035,0.00565,0.0275,0.0322,0.105,0.154,0.2,0.83,1.19,1.72,1.83,2.72,3.85,4.27,5.44,7.8,9.0,10.6,15.0,19.0,23.0,28.0,37.9,43.0,53.0,58.0
69,Gibraltar,0,0.0,0.0,0.0,0,,2.66,4.18,5.94,19.1,21.2,23.7,28.3,32.9,39.1,45.3,51.6,58.0,65.1,65.0,65.0,65.0,,,,94.4,,,,
70,Guinea,0,0.0,0.0,0.00014,0.00067,0.00195,0.0038,0.0062,0.0608,0.0954,0.176,0.402,0.451,0.509,0.542,0.637,0.78,0.92,0.94,1.0,2.0,3.1,4.5,6.4,9.2,13.1,18.7,21.8,23.0,26.0
71,Gambia,0,0.0,0.0,0.0,0.00922,0.0355,0.0513,0.206,0.716,0.922,1.34,1.8,2.44,3.31,3.8,5.24,6.21,6.88,7.63,9.2,10.9,12.4,14.0,15.6,18.2,21.4,25.1,32.6,34.5,36.5
72,Guinea-Bissau,0,0.0,0.0,0.0,0,,0.0164,0.0241,0.118,0.23,0.3,1.02,1.35,1.81,1.9,2.06,2.21,2.35,2.3,2.45,2.67,2.89,3.1,3.32,6.1,13.8,14.8,15.7,19.4,22.9
73,Equatorial Guinea,0,0.0,0.0,0.0,0,,0.0415,0.0944,0.0974,0.132,0.165,0.321,0.521,0.844,1.15,1.28,1.56,1.82,2.13,6.0,11.5,13.9,16.4,18.9,21.3,23.8,26.2,,,
